country,gini_reported,mean,median,exchangerate,currency,mean_usd,median_usd,gdp_ppp_pc_usd2011,population
Uganda,42.75,1165.68,804,3611.22445804461,US$2011PPP,1166,804,1698,42862958
Ukraine,25,4197.36,3765.96,25.5513341166667,US$2011PPP,4197,3766,7363,44438625
United Kingdom,31.5,24602,21136,0.740634463697084,Euro,17154,14355,39194,65788574
United States,46.3,25531,22310,1,United States dollar 2010,,,54436,324459463
Uruguay,39.72,9537.6,7301.4,30.1626,US$2011PPP,9538,7301,20094,3444006
Uzbekistan,39.7,746.4,587.64,236.608333333333,US$2011PPP,746,588,3029,26512184
Vanuatu,37.63,1781.52,1379.76,96.9058333333333,US$2011PPP,1782,1380,2948,236295
Venezuela,40.7,3777.72,2737.32,6.04796184166667,US$2011PPP,3778,2737,17665,30317848
Vietnam,35.27,3465.12,2818.44,21935.0008333333,US$2011PPP,3465,2818,5838,94569072
West Bank and Gaza,33.69,3831.36,3165,,US$2011PPP,3831,3165,,4952168
Yemen,36.71,1479.48,1132.44,214.89,US$2011PPP,1479,1132,3767,26246327
Yugoslavia,31.7,,,,,,,,23879000
Zambia,57.14,1090.32,568.56,8.63235596234196,US$2011PPP,1090,569,3627,16100587
Zimbabwe,43.15,1768.56,1230.48,0.00867521932931324,US$2011PPP,1769,1230,1667,14386649
